id;language_from;language_to;word_from;word_to;type
;en;ja;"Meeting the language level requirements";"語学力要件の達成";Text
;en;ja;"Before beginning any community placement, students must demonstrate functional conversational ability. Reaching a B1 level means you can understand standard input on familiar matters encountered at work, school, or leisure. Why is this mandatory? Service coordinators give instructions quickly. They use local idioms. You need the confidence to ask for clarification when you do not understand a task. Absolute beginners should focus on intensive classroom study before adding an external commitment. If you are currently at an A1 or A2 level, you might need 4 to 8 weeks of intensive study to prepare adequately for the community component.";"地域の活動を開始する前に、学生は実用的な会話能力を証明しなければなりません。B1レベルに到達しているということは、職場、学校、または余暇で遭遇する身近な事柄について、標準的な発言を理解できることを意味します。なぜこれが必須なのでしょうか。活動のコーディネーターは素早く指示を出します。彼らは現地の慣用句を使います。タスクが理解できないときは、自信を持って説明を求める必要があります。完全な初心者は、外部での活動を追加する前に、教室での集中的な学習に専念すべきです。現在A1またはA2レベルの学生は、地域活動への参加を適切に準備するために、4から8週間の集中学習が必要になる場合があります。";Text
;en;ja;"Classroom learning meets local service";"教室での学習と地域サービスの融合";Text
;en;ja;"Your week balances formal instruction with scheduled service hours. Morning sessions focus on core grammar, vocabulary expansion, and pronunciation correction. Our instructors use your afternoon experiences to shape the next day's lesson plan. If you struggled to understand a supervisor's request, you can bring that exact scenario into the classroom for review. This creates a continuous feedback loop. You learn a concept in the morning. You test it in the community by the afternoon. You refine it with your teacher the following day. This cycle accelerates spoken fluency far faster than textbook study alone.";"あなたの1週間は、正式な授業と予定された奉仕活動の時間でバランスを取ります。午前のセッションでは、基礎となる文法、語彙の拡張、そして発音の矯正に焦点を当てます。当校のインストラクターは、あなたの午後の経験を利用して翌日のレッスンプランを作成します。もし監督者の要求を理解するのに苦労したなら、その状況をそのまま教室に持ち帰って復習することができます。これが継続的なフィードバックループを生み出します。午前中に概念を学びます。午後には地域コミュニティでそれを実践します。翌日、教師と一緒にそれを改善します。このサイクルは、教科書だけの学習よりもはるかに早く、スピーキングの流暢さを加速させます。";Text
;en;ja;"Comparing outcomes and study paths";"成果と学習経路の比較";Text
;en;ja;"Selecting your destination city";"留学先の都市選び";Text
;en;ja;"Preparing for your arrival";"到着に向けた準備";Text
;en;ja;"Everyday Fluency Focus";"日常的な流暢さの習得";Text
;en;ja;"Is a general english curriculum right for me?";"一般英語カリキュラムは自分に合っていますか？";Text
;en;ja;"Mastering everyday communication in a general english course at the College of English Language (CEL) typically takes 12 to 24 weeks. Accredited by the Accrediting Council for Continuing Education and Training (ACCET) in the United States and Languages Canada, this foundation program serves learners aiming for baseline fluency rather than immediate university entry. Classes focus on the speaking, listening, reading, and writing skills necessary for daily life in San Diego, California, Los Angeles, California, or Vancouver, British Columbia. Instructors adapt weekly topics directly based on the immediate needs of the room. Absolute beginners start with essential survival phrases. Advanced students often debate global news. Teachers tailor the syllabus so students can confidently navigate real-world situations, from ordering food to understanding casual conversation. Yes. This is exactly where most students begin before moving to specialized tracks.";"College of English Language (CEL) の一般英語コースで日常会話を習得するには、通常12週間から24週間かかります。米国のAccrediting Council for Continuing Education and Training (ACCET) およびLanguages Canadaの認定を受けたこの基礎プログラムは、大学への直接進学よりも、まずは基礎的な流暢さの習得を目指す学習者に適しています。授業では、カリフォルニア州のSan DiegoやLos Angeles、あるいはBritish Columbia州のVancouverでの日常生活に必要な、スピーキング・リスニング・リーディング・ライティングのスキルに焦点を当てています。講師は、クラスの現在のニーズに直接基づいて毎週のトピックを調整します。全くの初心者は、生活に必須のサバイバルフレーズから始めます。上級者は世界的なニュースについて議論することがよくあります。飲食店での注文から日常会話の理解まで、現実の状況に自信を持って対応できるように講師がシラバスをカスタマイズします。はい。専門的なコースに進む前に、ほとんどの学生がここから学習をスタートします。";Text
;en;ja;"How does it compare to specialized programs?";"専門プログラムとの違いは何ですか？";Text
;en;ja;"Timeline expectations and level progression";"期間の目安とレベルの進行";Text
;en;ja;"Every learner asks how long it takes to become fluent. It depends. Progression through the CEFR levels requires consistent practice inside and outside the classroom. Students studying general english often see a jump from A1 to A2 within 8 to 12 weeks of intensive study. Reaching C1 or C2 takes considerably longer. A student aiming for an International English Language Testing System (IELTS) band score of 7.0 will eventually need to switch out of a standard class. General english builds the grammatical foundation, while specialized classes teach the test logic. The timeline also depends heavily on attendance and homework completion. Skip the homework, add a month. Active participation accelerates progress significantly.";"流暢になるまでどのくらいかかるのかと、すべての学習者が質問します。状況によります。CEFRレベルを進めるには、教室の内外での継続的な練習が必要です。一般英語を学ぶ学生は、集中コースでの8週間から12週間の学習で、A1からA2への向上を見ることがよくあります。C1やC2に到達するにはかなり長い時間がかかります。International English Language Testing System (IELTS) バンドスコア7.0を目指す学生は、最終的に標準クラスから切り替える必要があります。一般英語が文法の基礎を構築する一方で、専門クラスではテストの論理を指導します。また、期間は出席率や宿題の達成度にも大きく依存します。宿題を怠れば、さらに1ヶ月かかります。積極的な参加は上達を大幅に早めます。";Text
;en;ja;"What to expect in the classroom";"クラスでの学習内容";Text
;en;ja;"Classes emphasize interactive learning over silent textbook reading. You will spend most of your morning speaking with partners from different countries. This forces you to rely on english rather than translating back to your native language. Instructors introduce grammar concepts through context. Instead of memorizing verb tables, you practice using the past tense by describing your weekend plans. This practical application cements the rules much faster than rote memorization. Our general english program also integrates vocabulary relevant to travel, basic business interactions, and social situations. The goal is functional independence.";"授業では、静かに教科書を読むことよりも、対話型の学習を重視しています。午前中のほとんどの時間は、異なる国から来たパートナーと話すことに費やされます。これにより、母国語に翻訳するのではなく、英語に頼らざるを得なくなります。講師は文脈を通じて文法の概念を導入します。動詞の活用表を暗記する代わりに、週末の予定を説明することで過去形を使う練習をします。この実践的な応用は、丸暗記よりもはるかに早く規則を定着させます。当校の一般英語プログラムには、旅行、基本的なビジネスでのやり取り、社会的な状況に関連する語彙も組み込まれています。目標は機能的に自立することです。";Text
;en;ja;"Transitioning to academic or career goals";"学業やキャリアの目標への移行";Text
;en;ja;"Many students use the general english program as a stepping stone. An intermediate student might spend 12 weeks improving their conversational flow before tackling the Test of English as a Foreign Language internet-Based Test (TOEFL iBT). The TOEFL iBT requires a specific vocabulary set that a general english syllabus introduces gradually. If your ultimate goal is a score of 90 on the TOEFL iBT, you need the underlying grammar structure first. Without it, the test strategies will not stick. Similarly, students preparing for the Canadian English Language Proficiency Index Program (CELPIP) often start here to build baseline confidence before navigating the formal test structure.";"多くの学生が、一般英語プログラムを次のステップへの足がかりとして活用しています。中級の学生であれば、Test of English as a Foreign Language internet-Based Test (TOEFL iBT) に取り組む前に、12週間かけて会話の自然な流れを改善することがあります。TOEFL iBTでは、一般英語のシラバスで徐々に導入される特定の語彙セットが求められます。最終的な目標がTOEFL iBTでの90点獲得である場合、まずは基礎となる文法構造が必要です。それがなければ、テスト対策の戦略は身につきません。同様に、Canadian English Language Proficiency Index Program (CELPIP) の準備をしている学生も、正式なテスト構造に取り組む前に、ここで基礎的な自信をつけることから始めることがよくあります。";Text
;en;ja;"Choosing your campus location";"キャンパスの選択";Text
;en;ja;"Choosing the student house budget accommodation provides a cost-effective base right in downtown Vancouver, British Columbia. This self-catering setup requires a minimum stay of four weeks and is open to residents 17 years and older. The downtown placement puts you close to major transit routes, supermarkets, and city amenities. Getting to class involves a predictable daily commute. You can expect a 35-minute trip using local public transportation to reach the school. Many students use this transit time to review vocabulary or read course materials. Learning to use local transit builds immediate confidence in a new environment. Living centrally means you rarely need to rely on expensive rideshares. You simply walk to the nearest train station or bus stop. By choosing this setup, you save on housing costs while remaining in the heart of the city.";"学生ハウスのバジェット滞在を選ぶと、バンクーバー(ブリティッシュコロンビア州)の中心部に費用対効果の高い拠点を確保できます。この自炊型の施設は最低4週間の滞在が必要であり、17歳以上の方にご利用いただけます。ダウンタウンに位置するため、主要な交通機関、スーパーマーケット、都市の便利な施設がすぐ近くにあります。通学は毎日の規則正しいルーティンになります。公共交通機関を利用して学校まで約35分の道のりです。多くの学生が、この移動時間を単語の復習や教材を読むために活用しています。現地の交通機関の利用に慣れることで、新しい環境での自信がすぐに身につきます。中心部に住めば、高額な配車サービスに頼る必要はほとんどありません。最寄りの駅やバス停まで歩くだけです。この滞在方法を選べば、街の中心部にいながら住居費を節約できます。";Text
;en;ja;"Comfort and Independence";"快適さと自立性";Text
;en;ja;"Who chooses the CEL shared apartment premium?";"CELシェアアパートメント・プレミアムはどんな人に適しているか？";Text
;en;ja;"Managing your daily routine and budget";"日常生活と予算の管理";Text
;en;ja;"Combining academic focus and local experiences";"学業への集中と現地での体験の両立";Text
;en;ja;"Long-term stays and pathway preparation";"長期留学と大学進学準備";Text
;en;ja;"Finding the right balance of privacy and connection";"プライバシーとつながりの適切なバランスを見つける";Text
;en;ja;"Roommates often become your first friends in a new country. You might wake up and review grammar exercises together before catching the bus or coordinate weekend trips to the beach. These shared routines create a strong support system away from home. You are never entirely alone. The overall apartments are mixed gender. You share the kitchen and common areas with both male and female flatmates, creating a highly collaborative environment.";"新しい国で最初に出会う友人がルームメイトになることは珍しくありません。朝起きてバスに乗る前に一緒に文法の復習をしたり、週末にビーチへ行く計画を立てたりすることもあるでしょう。このような日々の共有は、親元を離れた環境での強力な支えとなります。決して孤独ではありません。アパート全体は男女共用です。キッチンや共有スペースを男女両方のフラットメイトと使うため、非常に協調性が育まれる環境です。";Text
;en;ja;"Local family living";"地元のホストファミリーとの生活";Text
;en;ja;"Is a premium homestay the right choice?";"プレミアムホームステイは最適な選択肢か？";Text
;en;ja;"What does daily life look like in a local home?";"現地の家庭での日常生活とは？";Text
;en;ja;"Commuting to classes and exploring the city";"授業への通学と市内の探索";Text
;en;ja;"How to prepare for arrival and high season changes";"到着時の準備と繁忙期の変更点";Text
;en;ja;"Who benefits most from this arrangement?";"この滞在方法が最も適しているのは誰か？";Text
;en;ja;"Commuting from your homestay neighborhood";"ホームステイ先からの通学";Text
;en;ja;"Room configurations and booking requirements";"部屋のタイプと予約要件";Text
;en;ja;"Cultural exchange and mealtime habits";"文化交流と食事の習慣";Text
;en;ja;"Who benefits most from living with locals?";"現地の人々と生活するメリットが最も大きいのは誰ですか？";Text
;en;ja;"Progression timelines and language levels";"上達のスケジュールと言語レベル";Text
;en;ja;"Language requirements remain flexible for this combined approach. We accept students from beginner A1 through advanced C1 CEFR levels. Beginners often find that the informal setting in the water removes the intimidation factor of traditional language learning. When you fall off a board and laugh with your instructor, you stop worrying about perfect verb conjugation. You just speak. Advanced students benefit from learning specialized vocabulary and natural local expressions that rarely appear in textbooks.";"この複合的なアプローチにおいて、語学力の要件は柔軟です。CEFRの初級A1から上級C1レベルまでの学生を受け入れています。初心者の場合、水中のインフォーマルな環境が、従来の言語学習にある威圧感を取り除いてくれることに気づくことが多いです。ボードから落ちてインストラクターと一緒に笑い合う時、完璧な動詞の活用を気にするのをやめるはずです。ただ話すだけです。上級者は、教科書にはめったに出てこない専門的な語彙や自然な地元の表現を学ぶことで恩恵を受けます。";Text
;en;ja;"Balancing academic rigor with physical activity";"学問の厳格さと身体活動のバランス";Text
;en;ja;"Maintaining energy levels is the primary challenge for new arrivals. The water demands significant physical stamina. Your first week will feel exhausting. Students typically need about 7 days to adapt to the rhythm of intensive mental focus followed by active exertion. We structure the english plus surfing schedule specifically to support this physical balance. Morning classes run efficiently to ensure you maximize your peak cognitive hours.";"エネルギーレベルを維持することが、新入生にとっての主な課題です。水中ではかなりの体力が要求されます。最初の1週間は疲れ果てるように感じるでしょう。学生は通常、集中的な精神的集中の後に活発な運動を行うというリズムに適応するまでに、約7日間を必要とします。当校では、この身体的なバランスをサポートするために、English Plus Surfingのスケジュールを特別に構築しています。午前中のクラスは効率的に運営され、認知能力のピーク時間を最大限に活用できるようになっています。";Text
;en;ja;"Comparing this course to other specialized options";"このコースと他の専門的な選択肢との比較";Text
;en;ja;"Planning your coastal stay";"海岸での滞在計画";Text
;en;ja;"Equipment rentals are included in your afternoon sessions. You do not need to purchase a board or wetsuit before arriving in California. The coaching staff matches the equipment to your height, weight, and current skill level each week. As your balance improves, they transition you to shorter, more responsive boards. Your only daily responsibilities are attending your morning lessons, bringing adequate sun protection, and maintaining an open mindset.";"午後のセッションには機材のレンタルが含まれています。カリフォルニア州に到着する前に、ボードやウェットスーツを購入する必要はありません。コーチングスタッフが毎週、身長・体重・現在のスキルレベルに合わせて機材を調整します。バランス感覚が向上するにつれて、より短く反応の良いボードへと移行させてくれます。あなたの毎日の責任は、午前中のレッスンに出席すること、十分な日焼け対策をすること、そしてオープンな心構えを保つことだけです。";Text
;en;ja;"North American Immersion";"北米での英語環境イマージョン";Text
;en;ja;"Why attend an english language school in North America?";"なぜ北米の語学学校を選ぶべきなのか？";Text
;en;ja;"CEL operates an accredited english language school where international students aged 16 and older study across three North American campuses. You can choose locations in San Diego, California, Los Angeles, California, and Vancouver, British Columbia. The Commission on English Language Program Accreditation (CEA) recognizes our US locations, while our Canadian campus operates as a Designated Learning Institution (DLI). Students rate the instruction highly, giving the programs 4.8 stars across 195 reviews. A major factor is class size. Groups average seven students and never exceed twelve. This low student-to-teacher ratio guarantees individual attention. You practice speaking every day. Start dates open every Monday throughout the entire year, giving you maximum flexibility for your travel schedule. Our admissions team provides support in nine languages, including Spanish, German, French, Italian, Portuguese, Korean, Japanese, and Arabic. Students travel from all over the world to attend an english language school for this cultural exchange. The community builds fast. An international learner from Brazil might share a classroom with peers from Switzerland, South Korea, and France. Building connections with new friends naturally improves conversational fluency. You share a great experience exploring local neighborhoods, taking weekend trips, and participating in afternoon school activities. Studying abroad is an incredible life event. We want to make sure your academic progress matches the fun you have outside of class. You can read student stories on CEL's voices page to see how others navigated their time abroad.";"CELは公的機関の認定を受けた語学学校であり、16歳以上の留学生が北米の3キャンパスで学んでいます。カリフォルニア州のSan DiegoおよびLos Angeles、ブリティッシュコロンビア州のVancouverから留学先を選択可能です。米国のキャンパスはCEAの認定を受け、カナダのキャンパスはDLIとして運営されています。授業の質は高く評価されており、195件の学生レビューで平均4.8星を獲得しました。その主な理由はクラス規模です。1グループは平均7名で、12名を超えることはありません。この少人数制により教師の目が行き届き、毎日確実にスピーキングの練習ができます。入学日は年間を通して毎週月曜日に設定されているため、渡航スケジュールに合わせた柔軟な対応が可能です。入学サポートチームは、スペイン語・ドイツ語・フランス語・イタリア語・ポルトガル語・韓国語・日本語・アラビア語など9言語で対応いたします。文化交流を目的として世界中から留学生が集まります。コミュニティの輪はすぐに広がります。ブラジルからの留学生が、スイスや韓国、フランスのクラスメイトと共に学ぶことも珍しくありません。新しい友人とのつながりが、自然と会話力を高めます。周辺地域の散策、週末の小旅行、午後の学校アクティビティに参加し、素晴らしい体験を共有できるでしょう。語学留学は人生における素晴らしいイベントです。教室外での楽しさにふさわしい着実な学習の進歩を実感していただけるようサポートします。他の方々の留学体験については、CELの体験談ページでご覧いただけます。";Text
;en;ja;"CEL, the College of English Language, is an accredited English language school where international students aged 16 and older study across three campuses in North America: two in California (San Diego, and Santa Monica/Los Angeles) and one in downtown Vancouver, British Columbia. Class sizes average seven students per group (maximum twelve), the school holds a 4.8-star rating from more than 195 student reviews, and start dates open every Monday throughout the year. Programs run from one-week intensives through multi-month progressions toward advanced English fluency, and admissions support is available in nine languages including English, Spanish, German, French, Italian, Portuguese, Korean, Japanese, and Arabic.";"College of English Language（CEL）は認定を受けた語学学校であり、16歳以上の留学生が北米の3キャンパスで学習しています。カリフォルニア州の2拠点（San Diego、およびサンタモニカ/Los Angeles）と、ブリティッシュコロンビア州Vancouverのダウンタウンにキャンパスを展開。1クラスの平均人数は7名（最大12名）です。195件以上の学生レビューで4.8星の高評価を得ており、年間を通じて毎週月曜日に入学できます。1週間の集中コースから、高度な英語力を目指す数ヶ月間の長期留学まで対応。入学前のご相談は、英語・スペイン語・ドイツ語・フランス語・イタリア語・ポルトガル語・韓国語・日本語・アラビア語の9言語で承ります。";Text
;en;ja;"Each campus has a distinct character that shapes the daily experience. CEL San Diego sits in the Pacific Beach neighborhood three blocks from the ocean, giving students year-round Southern California weather and a regular schedule of community events. CEL Los Angeles operates from the Santa Monica beachfront business district, putting students within walking distance of the entertainment, technology, and creative industries that define the region. CEL Vancouver is downtown near Coal Harbour, a Designated Learning Institution (DLI) in one of the world's most livable cities and the only Canadian destination in our network. The USA and Canada options each come with distinct visa pathways, accent exposure, and post-graduation work permit possibilities; our admissions team helps each student match nationality, timeline, and goals to the right campus.";"各キャンパスには独自の特徴があり、日々の留学生活を形作ります。CEL San Diegoは海から3ブロック離れたパシフィックビーチ地区に位置。年間を通して南カリフォルニアの温暖な気候に恵まれ、地域イベントも定期的に開催されています。CEL Los Angelesはサンタモニカのビーチフロント・ビジネス地区にあり、この地域を象徴するエンターテインメントやテクノロジー、クリエイティブ産業の拠点まで徒歩圏内です。CEL Vancouverはダウンタウンのコールハーバー近くに位置するDLI認定校。世界で最も住みやすい都市のひとつであり、当校ネットワーク内で唯一のカナダのキャンパスです。アメリカとカナダでは、ビザの取得方法や触れる英語のアクセント、卒業後の就労許可に関する選択肢が異なります。当校の入学チームが、国籍やスケジュール、目標に最適なキャンパス選びをお手伝いいたします。";Text
;en;ja;"The right program starts with the goal. Students building everyday fluency typically begin with General English, a level-tested course that runs from absolute beginner (Common European Framework of Reference level A1) through advanced (C1). Students preparing for university entry add specialty electives: Cambridge Preparation for B2 First and C1 Advanced certificates, Test of English as a Foreign Language internet-Based Test (TOEFL iBT) Preparation for North American university admission, Academic Skills for the writing and discussion abilities universities expect, or our Global Pathway program for students aiming to enter a US college directly. Career-focused students choose Career Development, which combines English fluency work with project-based learning in business communication, AI tools, and project management. The complete catalog lives on our courses page , and CEL admissions can match your starting level, timeline, and goal to the right combination of course and campus.";"最適なプログラム選びは、まず目標を定めることから始まります。日常会話力の向上を目指す学生は、通常「一般英語」からスタートします。これはレベルチェックテストに基づいて、完全な初心者（CEFRレベル A1）から上級者（C1）まで対応するコースです。大学進学プログラムを控える学生は専門的な選択科目を追加できます。B2 FirstおよびC1 Advanced資格に向けたケンブリッジ英検対策、北米の大学入学に向けたTOEFL iBT対策、大学で求められるライティングやディスカッション能力を養うアカデミック英語、そして米国の大学へ直接進学を目指すグローバル・パスウェイ・プログラムです。キャリア形成を重視する場合はキャリア・ディベロップメントを選択します。ここでは英語力の強化に加え、ビジネスコミュニケーションやAIツール、プロジェクトマネジメントに関する実践的な学習を組み合わせます。すべてのプログラム一覧はコースページに掲載されています。CELの担当者が、現在のレベル・期間・目標に合わせて、コースとキャンパスの最適な組み合わせをご提案します。";Text
;en;ja;"Many students extend their stay or move into our Pathway Program , which prepares international students for direct admission to American colleges and universities through partnerships covering certificate programs with Optional Practical Training (OPT) eligibility, undergraduate transfer agreements, and graduate program preparation. Others use their improved English to apply to universities directly, qualify for jobs that require English at multinationals in their home countries, or secure Post-Graduation Work Permit (PGWP) status in Canada, which allows eligible graduates of recognized programs to work in the country for up to three years with a documented route to permanent residency through Express Entry. We help arrange student housing at all three campuses, from homestays with local families through shared apartments and student residences. Most new students start with a free consultation with our admissions team, who can walk through visa pathways, course selection, accommodation, and timeline based on specific goals and country of origin.";"多くの学生が滞在期間を延長するか、パスウェイ・プログラムへ移行します。これは、OPT（Optional Practical Training）資格を得られる修了証プログラムや学部編入協定、大学院進学準備など、提携校を通じて米国の大学・カレッジへの直接入学を支援するプログラムです。また、向上した英語力を活かして直接大学へ出願する方や、母国の外資系企業で英語必須の仕事に就く方もいます。カナダでPGWP（Post-Graduation Work Permit）のステータスを取得するケースもあります。これは認定プログラムの対象卒業生がカナダ国内で最大3年間就労できる制度であり、エクスプレス・エントリーを通じた永住権取得への道も開かれます。当校では3つのキャンパスすべてで、現地ファミリーとのホームステイからシェアアパート、学生寮まで、滞在先の手配をサポートしています。新入生の大半は、まず入学チームとの無料相談から始めます。出身国や具体的な目標に基づき、ビザの取得方法・コース選択・滞在先・スケジュールについて詳しくご案内いたします。";Text
;en;ja;"California Coastal Learning";"カリフォルニアの海岸沿いで学ぶ";Text
;en;ja;"How does our language school in Los Angeles work?";"Los Angelesの当語学学校の仕組みとは？";Text
;en;ja;"Established on Wilshire Boulevard just six blocks from the Pacific Ocean, our Los Angeles, California language school operates 13 modern classrooms equipped with smart TVs. The College of English Language (CEL) facility in Santa Monica connects international students with real-world speaking practice in the United States. Accredited by the Commission on English Language Program Accreditation (CEA), the campus welcomes students aged 16 and older for short-term visits and intensive academic preparation. The center operates in partnership with EC Los Angeles. Students benefit from class sizes capped at 15 learners. This structure guarantees daily interaction with certified teachers. You can study general conversation skills or book private lessons designed for your level. The coastal neighborhood places you steps away from the famous Third Street Promenade. It offers an environment where academic focus meets the Southern California lifestyle. Students often arrive with specific academic or professional ambitions. Some refine their business vocabulary before applying to undergraduate programs , while others focus on general fluency. The campus accommodates all adult age groups and provides access to homestay and shared apartment options nearby.";"太平洋からわずか6ブロックのウィルシャー大通りに位置するカリフォルニア州Los Angelesの当語学学校には、スマートテレビを完備した13のモダンな教室があります。サンタモニカにあるCollege of English Language (CEL) の施設は、留学生にアメリカでの実践的なスピーキング練習の場をご提供しています。CEA (Commission on English Language Program Accreditation) の認可を受けたこのキャンパスでは、16歳以上の学生を対象に短期留学から集中的なアカデミック英語の準備まで受け入れています。同センターはEC Los Angelesと提携して運営しています。クラスの人数は最大15名に制限されており、認定を受けた教師と毎日コミュニケーションをとることができます。一般的な英会話スキルを学ぶことも、ご自身のレベルに合わせたプライベートレッスンを予約することも可能です。海岸沿いのこの地域からは、有名なサード・ストリート・プロムナードまで歩いてすぐです。勉強に集中できる環境と南カリフォルニアのライフスタイルが融合した場所です。ここへ来る学生は、学業や仕事において具体的な目標を持っていることが多くあります。大学の学部課程に出願する前にビジネス英語の語彙を磨く学生もいれば、総合的な流暢さの向上に集中する学生もいます。当キャンパスはすべての成人年齢層に対応しており、近隣のホームステイやシェアアパートをご利用いただけます。";Text
;en;ja;"CEL Los Angeles is the College of English Language's accredited California campus on Wilshire Boulevard in Santa Monica, two blocks from the Pacific Ocean. It runs small classes year-round for international students who want to learn English in the United States with daily speaking practice, set in a city where international industries make English fluency directly tied to professional opportunity. The school is part of CEL's three-campus network across Santa Monica, San Diego, and Vancouver, Canada, so course progress and accommodation can transfer between locations during a longer stay.";"CEL Los Angelesは、サンタモニカのウィルシャー大通り沿い、太平洋から2ブロックの場所にあるCollege of English Languageの認可済みカリフォルニアキャンパスです。アメリカで毎日スピーキングの練習をしながら英語を学びたい留学生のために、一年を通じて少人数制のクラスを開講しています。国際的な産業が集まるこの都市では、英語の流暢さが直接キャリアの機会につながります。当校はサンタモニカ、San Diego、カナダのVancouverにあるCELの3キャンパスネットワークの一部です。そのため、長期留学の際には各拠点間でコースの進捗や滞在先を引き継ぐことができます。";Text
;en;ja;"Santa Monica is a coastal Los Angeles neighborhood with the Third Street Promenade, the Pier, the bike path along the beach, and easy connection by Metro into Hollywood, Downtown LA, and Culver City. CEL Los Angeles sits inside this neighborhood, which means students walk to class in the morning and meet classmates over coffee or at the beach in the afternoon. Class sizes stay deliberately small so that every student speaks during every lesson, and teachers know each student's name and progress level from the first week.";"サンタモニカはLos Angelesの海岸沿いにある地区で、サード・ストリート・プロムナード、ピア、ビーチ沿いのサイクリングロードがあり、地下鉄でハリウッド、ダウンタウンLA、カルバーシティへも簡単にアクセスできます。CEL Los Angelesはこの地域内にあるため、学生は朝歩いて教室に向かい、午後にはコーヒーを飲みながら、あるいはビーチでクラスメイトと交流します。すべての授業で全員が発言できるよう、クラスの人数は意図的に少なく保たれています。教師は最初の週から各学生の名前と学習の進捗レベルを把握しています。";Text
;en;ja;"Students who come to CEL Los Angeles often arrive with a specific career or industry goal: working professionals refining business English, entrepreneurs preparing to pitch in English-speaking markets, and aspiring creators connected to the Los Angeles film, music, and tech scenes. Others come on a tourist visa or ESTA for shorter intensive stays, or on an F-1 student visa for longer programs. Most arrive at a CEFR B1 level or above, with the student body coming from across Europe, Latin America, East Asia, and the Middle East. The mix of nationalities means English is the only practical shared language, so students use it from the first day even outside the classroom.";"CEL Los Angelesに入学する学生は、特定のキャリアや業界の目標を持っています。ビジネス英語をブラッシュアップする社会人、英語圏の市場でプレゼンを行う準備をする起業家、そしてLos Angelesの映画・音楽・テクノロジー業界に関わりを持つクリエイター志望者などです。さらに、短期の集中コースのために観光ビザやESTAで来校する方や、長期プログラムのためにF-1ビザで来校する方もいます。ほとんどの学生はCEFRのB1レベル以上で入学し、ヨーロッパ、ラテンアメリカ、東アジア、中東などから集まっています。国籍が混ざり合っているため実用的な共通語は英語のみとなり、学生は授業外でも初日から英語を使用します。";Text
;en;ja;"Many students continue into one of CEL's specialized tracks rather than stopping at general English. The English Career Development course focuses on workplace communication, interview practice, and professional vocabulary, which suits the city's international industry mix. Others move into Cambridge or TOEFL preparation as a route into United States universities. Accommodation throughout the stay is handled through CEL's homestay or shared apartments in Santa Monica , so students don't have to find housing on their own when they arrive.";"多くの学生は一般英語だけで終わらず、CELの専門コースへと進みます。英語キャリア開発コースでは職場でのコミュニケーション、面接の練習、専門的な語彙に焦点を当てており、国際的な産業が混在するこの都市に非常に適しています。アメリカの大学に進学するためのルートとして、ケンブリッジ英検やTOEFL対策へと進む学生もいます。滞在中の宿泊施設は、サンタモニカにあるCELのホームステイやシェアアパートを通じて手配されるため、到着後にご自身で滞在先を探す必要はありません。";Text
;en;ja;"Teen Language Adventure";"10代向けの語学アドベンチャー";Text
;en;ja;"What makes the San Diego summer camp the ideal choice for teens?";"San Diegoのサマーキャンプが10代の学生に最適な理由とは？";Text
